PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76
e1_SI-2	-3.34589466305705	12.9337993648186	17.2484990151583	-0.205545793404442	4.3539589908271	-3.40749627993346	12.3769531472466	2.2816342278954	-7.88596267640926	3.01713818381778	-5.45533049069813	3.08769360333283	-5.95190835332377	2.75995248155651	-3.24296499044129	8.33859772209388	-5.21421278652128	8.38734393432384	-2.51705167006879	4.33279222862729	2.20874194648197	-5.77447224470238	-4.81137119794718	19.4039364970342	-20.1015124026615	-9.07630663151401	12.7400372954187	14.6131415882288	-33.7421878721246	8.57061641329236	2.52001515625126	37.551439518481	-21.3103919717623	-31.5581130689055	-3.67626420484162	23.554869127621	7.2899555612773	13.3942709523822	-10.2538971541652	-9.28517016803734	-7.65347074436897	1.53781072590688	2.42413764038244	10.2665211998258	-14.3072244560297	-7.91121762277468	15.1461776454441	6.96242343808522	-5.20055408509519	-0.61164539671619	-1.9192493963786	2.79445418022971	-4.3804753890595	-0.637920656060591	2.6308703299128	-0.524959191527249	0.382011589224831	-1.36195187088861	-9.21080703028543e-14	-3.88322610422572e-14	3.44791198630262e-15	-2.95277311716108e-14	-2.70292414752266e-14	-1.19713470365067e-14	-3.02099165995495e-13	5.3468324602915e-14	5.69004207900264e-15	-6.76687506484704e-15	1.01993608871143e-14	2.271999862552e-15	-1.75060703780372e-15	-1.49370533303328e-14	-1.34179200682229e-14	1.0863509256661e-14	8.42907557987993e-15	-5.98116391484216e-15
e1_SII-2	-3.27977622869375	5.02295084172427	0.739825265238448	16.6077913601342	-1.46249863778569	-1.26043977010598	24.4793217367389	26.750155734456	0.699200877471792	14.1203053592317	-23.4284214250515	-7.64520675571279	-24.0860572240922	-11.0413019073519	6.8070590188208	3.68591030432997	-10.3405065883224	-3.83763066090574	-5.67267880928394	5.430224729846	7.60039988049513	-24.0962732011997	-37.3591322538961	22.860199491712	16.2629298187544	-34.9854654168592	-16.3900393992261	-32.4586160660342	1.35680694008411	-7.19611167726802	13.1568555926905	-5.22382069804968	7.57230367986307	-5.43621031771216	2.78674260306266	-3.29560286277532	-0.253271307892919	-0.893198258890575	-3.80194583585851	0.487827778710858	3.95648048342748	-0.904517250392164	-0.826613342258504	2.89023199931245	-1.50357931464333	-1.03727141171671	-4.38889853726562	-0.43626929330539	2.37277846619517	-1.00788397902958	0.490545648843121	2.40653315134295	0.531321840906258	1.95833690906319	-1.54872588285813	-0.35169909058498	1.05370148225261	-0.482008872154865	-3.16334198419144e-13	-6.77803590977324e-14	5.34761579636112e-14	-7.26792757921313e-14	1.37853162045232e-13	2.63281123248291e-13	3.12365151106109e-14	-3.30887661020851e-15	9.07203457321815e-14	-5.69755017904711e-14	4.74889225166031e-14	8.02897787317847e-15	5.1532129258236e-15	8.59598850433407e-15	3.40496402774504e-14	4.89503728350049e-15	2.06844090466785e-14	-8.15200771470126e-14
e1_SIII-2	-29.8342994341416	-31.0572096404853	38.2848138057942	18.4102961065648	-11.9921964608776	-6.93563216975331	15.3794965287675	-8.61714531847986	0.650387757054998	-4.32903419203579	-21.6149009345497	9.54703547992595	6.29421018222741	-11.3101247978483	1.16993310612008	-2.22876326785435	11.2977527478909	-0.248856388723504	-8.18298331551852	-17.9130044014013	21.0278960529131	4.92989104626368	0.825404085131505	11.7278090857183	-16.488842389007	1.43319675569823	9.11312005610945	13.8920957903729	-28.1591173202047	-31.8412648623304	27.2450501864854	-17.0663777644625	-22.4759936457992	26.7756851810763	-3.81464918127748	-20.7070735587927	6.23885345746922	-4.73945825910842	6.73513254141303	5.51800320299481	1.79142751670425	-7.30137967072517	-3.3189689730086	-4.96861199149471	-6.03112609468246	-8.57192101396092	-0.344354385847806	4.59586428391671	0.119260967605935	4.9809114940705	-4.17352333531867	2.28583169518651	1.25267244994179	0.283421529896791	3.60348597215385	4.5115012294194	0.0978100916535925	-0.875649925065975	-7.1804107798501e-14	1.39160608221296e-13	4.01296834304232e-14	1.23838656343467e-13	8.20738876167182e-14	4.73487893858093e-14	4.27709083428152e-14	6.56477910226938e-14	3.05291816132813e-14	4.26785614227737e-14	-3.70760280116178e-14	-9.77641361962767e-15	1.04420378593817e-13	1.11322626464294e-14	6.98073191049073e-14	8.2320055719981e-14	3.40756069194814e-14	-3.53725295582086e-14
e2_SI-2	-13.3131808355305	-8.52633748797615	30.530720238719	3.05322063079112	-6.91333599847296	0.86348935759025	0.381853183695782	-6.91068496065536	-4.21599147394842	-1.0751646854907	1.96435798082714	2.9887594308087	4.64899149821376	-2.65980899000404	1.02595186245396	-2.18059756517862	1.05200626160492	-4.91545304195861	1.67407756646715	14.6006750509066	-5.13804066873247	-4.43084664275623	-1.91275977103524	17.9053815638348	1.92773133205694	-9.045068986715	7.15990195767318	14.419700353656	32.3220738699282	-2.57834454258105	-20.0195164044856	-14.6670442721863	12.0470551961815	42.2765445165764	11.4081290714511	-3.90335644652042	-30.5403528937652	6.40006713976091	-23.7862579379708	16.7476445333735	-6.87391402931797	10.4713682203461	-11.3617994890264	5.81806824546403	-8.90209561814851	7.13532103345256	3.38759987256227	5.78461936057077	2.6800087593624	0.0646357978030639	-7.68451683947599	-4.71996039421668	6.74697985233182	2.3067408357282	-0.831449167998481	0.977491128111683	-2.35044682174658	0.881864547439505	-7.70009056516585e-14	1.50603745511894e-14	-1.14638116707755e-15	-4.87030121093524e-14	4.54178795267213e-14	4.68340644044218e-14	-1.67486250562954e-13	3.80489910412063e-14	-4.40756372371842e-14	-1.69081003538463e-13	-1.95375399886233e-14	5.61877475969974e-14	-3.73594384595055e-14	3.99523079550046e-14	-1.24886537743174e-15	-1.7967940503516e-15	-9.12195666225024e-14	2.9245703081493e-14
e2_SIII-2	-32.7786646320167	-13.0790737508789	11.4801523755414	6.76373698799445	-13.9730012487329	-3.1018516679708	18.7327196805337	6.19340356671549	-5.99536338833616	-2.87695411859547	-25.8967981543648	-8.05383780797385	12.6735792761189	-9.92360052280724	-6.46266629399388	9.83674637779505	35.1969162375993	-0.781464294995232	3.26857023430759	-0.888364270182719	17.4507652518169	-5.40231243382411	4.30700722716457	1.35526298442487	2.1954148231859	9.66151242117407	-8.36935701988111	-0.80933037494321	7.51057526210589	50.0785903681781	-18.0771605707192	11.0818031263794	29.0598675120274	-21.0961431332578	-6.03708132916597	-0.5657308105563	-22.0722974882721	-0.622779071656296	2.56986654967904	-1.6782137361729	6.60579699069163	-0.447559605625698	4.58446063354192	-6.15853744733308	4.96567798755034	-6.13657293699327	-4.65063248810822	-3.28976383824393	2.43798416517691	-6.34659187398823	3.16003532918214	-4.88702982859427	-0.114988301596132	0.605314939061881	-2.05784939720485	-5.39032348543757	-0.885766957191873	0.414135620291184	-1.93508403745213e-15	5.35011081661055e-15	3.38265656804615e-14	-1.78721403995552e-13	-3.37554420179464e-14	1.50526292819197e-14	-8.74951153195802e-15	-4.3678168720751e-15	-4.78805092362505e-14	-1.94943616371041e-14	8.25598270304262e-15	2.18408732939601e-14	-1.11351899922951e-14	2.97234025586901e-15	-2.51665143802607e-14	-1.92652968231122e-14	-1.45803508155851e-14	-1.45090103126355e-14
e3_SI-2	18.5850361660363	7.81834524343263	-21.9263077699937	2.89807783849138	3.13226469830872	0.87343806564931	-2.93660433775372	1.58406876167895	7.84116938952735	-0.238764951127808	2.29739235013042	-7.88186489404567	-7.77422311707603	-1.42118658659011	4.0778183094141	-8.49288080061595	0.381575262070654	-0.00733934465843457	-0.120712731053131	-21.9388299508411	5.72752066284337	9.43855304983974	11.65598606148	-33.0653969926703	11.4906131629303	16.0298050111871	-26.9296898247604	-12.398413154358	0.566827526787251	7.60690478277486	26.7440779177841	-28.6163749495836	17.9788329129934	-16.0643695669638	-1.13283444347067	-26.8545628912104	21.2367290640059	2.26102730229311	7.28691265926449	2.96185593916004	8.12762177566017	15.4546249914918	11.7083668375752	3.56115965226078	-16.6971052676411	5.40734348702916	10.7903666098118	0.448135809789257	-4.48717535290893	4.05175375910421	1.18553453178513	-2.45976553215933	-3.67301224223411	1.47565697379688	-1.55949421146183	-3.99837743517437	-0.193091270205277	-1.56444446454085	-1.08390401688807e-13	-4.36448201865847e-14	-4.76117897278e-15	3.32132596165408e-14	-2.68962098686626e-14	-2.06259569970543e-14	-3.08090358780433e-13	-4.85248234823044e-14	6.89581719634166e-15	6.92485551865261e-14	3.54216168115679e-14	-4.51430749335777e-14	3.7409582809983e-14	2.10581335355342e-14	2.35146510553161e-14	-2.97139157896809e-17	3.40202041884674e-14	-1.29496023279496e-14
e3_SII-2	3.30252101479521	1.24797732776622	-13.8170864953121	-2.17510215151574	0.904304423667992	6.14089698917671	1.96206586279651	20.7259476453329	8.29026730975878	8.82549472114993	-3.20429417700678	-19.9235503433197	-37.2958032128814	-21.1507027349522	4.8280025150589	5.0646980145094	4.37366039325495	-12.4980383350695	-7.49502208741499	-4.31880285039801	-20.8186724005426	35.6882210399191	39.8101102999292	-10.1394451318609	-12.9658803967903	25.1327263922414	20.7338349309095	26.2831295605815	3.51053797342842	1.63051957172151	-11.5078743797057	5.13350051568962	-4.85784836215284	7.19721271742735	-2.90991987519186	3.29726832346008	-2.21597406035019	-5.28078657738504	3.21884329267106	-2.8417287543818	-0.0116123548009116	-0.526762587339741	2.01443174810155	-5.016186159341	0.829027745114735	-0.627056920622736	3.1460810522428	1.52580194936669	-3.46521137688692	-1.50827880201115	-0.606223529670597	-4.90299319157884	-2.18757944650542	0.66093869192977	-0.494951244527166	0.169522970678737	-0.445647650901035	0.862343242523492	-1.46179807624866e-13	-5.04929341814029e-15	-5.38087844138661e-16	3.74640639691504e-14	-5.62346393409574e-14	-1.09356652829322e-13	-6.76383320012686e-14	-2.27340254911265e-14	-2.04294792346092e-14	5.49150433242981e-15	-2.63275797105118e-14	-6.54884031389431e-15	-5.83851001399738e-15	2.853698045013e-14	-1.94251903855324e-14	7.01438486829832e-15	-4.59892540716211e-14	8.76821944044426e-14
e3_SIII-2	32.7808905963239	-2.0040805179862	-9.03609350312985	12.5704784164784	23.6863720474912	9.87430631182973	-5.03867414825928	3.5278576945704	5.44919319174836	-1.84231895276883	22.654907978103	16.2316276180894	-7.44111739048328	3.07834848325544	24.615971495632	-3.3574830781641	-35.0431358025945	-10.3804150676944	24.9097316356363	3.08836659278987	-48.7632784824875	3.76629054359855	-26.08893413021	-19.8251909176409	27.7559033065082	-1.75020854033855	-12.8972277669339	16.8374146723017	-17.0303815757602	2.61800527151699	-7.65747101050057	5.24779374373092	0.0264744851693693	5.33246142863076	13.9989945031939	13.5330479728089	1.25840022520544	-2.3922524774719	-1.20794052731184	-1.04375272148922	-0.18050788508023	4.2648123454755	1.24182069745638	7.01593620763638	4.64534528370512	7.82858433866399	2.17810062611691	-0.603977566552965	-1.98384717078556	4.98116559305682	1.72146029028045	0.465515243181497	1.87623403192472	-0.848199137104271	-0.325690104115627	-0.0420248520202568	2.32698517255191	-1.08358038561351	-8.86070730676813e-14	-5.87783639848568e-14	-2.57415887650742e-14	-4.88497046632896e-14	2.83983990836956e-14	-8.90537643627454e-14	-2.42095839902978e-14	1.08343238894304e-14	-5.90836515997062e-14	-8.98233310647756e-14	-2.64274279543342e-15	6.20509774205275e-14	-5.42992300428535e-14	9.75142275955188e-15	-8.87622766086726e-14	-3.98668728238127e-14	6.48695507032837e-14	1.17579557201708e-14
e5_SI-2	-17.9949209759722	-31.4016314823579	15.2842787307828	28.9232321141517	-6.02572353929289	0.497023932359535	15.6220694704973	34.0548010740195	18.7545925340651	-36.7843142310294	14.4928488338471	14.4226815543033	-33.0163801437425	63.747574885723	-3.17641088746697	-37.4953181703514	30.6882545896481	4.68650712301794	-11.804890097531	5.68942225819876	-10.373034043344	3.31574246033381	-6.93663890976661	5.17536385882437	-4.10652420132811	10.6569403111583	-2.55132000734938	-6.34420743322769	0.283951582713532	-2.43132007117536	-3.30526602736317	1.27597410889443	0.229006778073705	0.207359607833215	2.12364653117077	0.581346620024524	-0.856261273462644	3.93595385121693	1.38440840804691	-1.19539361918355	1.07517075761349	-2.33141341996473	2.68043649264533	1.27346905558885	-1.13900114119898	-2.69440817522489	0.368235117887755	0.92819476873431	0.0353186840788885	-2.51421336398281	-0.406284853026951	-1.36275919684146	0.232536833362843	1.77971661704237	0.696846491464442	0.307545278487008	-1.04857134470369	0.918695956272051	4.60820617775859e-14	1.9298991793754e-14	-1.57159441710464e-14	-8.29791964307436e-14	-1.14406097442843e-14	7.22821325363499e-15	-4.15811048787296e-14	-5.69678852702094e-14	-2.47931829146925e-14	-4.23836313268033e-15	-1.1164355030735e-14	1.72461058021295e-14	1.90320849358105e-15	-1.33827410958576e-14	3.28157368899989e-14	8.72083438449578e-15	-1.99105055359583e-14	-5.53086222654375e-14
e5_SII-2	-40.7835950867471	-27.8267450505754	17.8500765350229	14.9646266229551	-4.90196161611613	5.82299164837988	3.19611008187516	14.7150251353361	7.91024543282984	-17.1195320530288	15.1431290631107	-5.5084030945291	-9.02983263669381	-7.21164803316284	0.794511443720967	13.6614478695156	-15.8469835971723	44.9129610389771	-12.6500634819393	20.5855101914722	25.392437691266	14.4069898881297	-3.08261073721289	-44.4111624453697	-1.33119480395056	-37.6541478106297	-1.11950475676227	16.703158148269	5.27134758048384	2.23069599846205	3.12065050950492	5.78075314917236	1.60536938570863	9.20188693839443	-5.30388222626521	4.66465724993777	-5.46653689120497	2.3495416929981	10.3129679789101	-1.05263856050387	1.27740514164608	6.47681383428625	4.54744186702327	-3.07198481049137	2.42142234359333	-2.65440180972595	-1.27415965917092	3.92049142103425	-0.563346915560333	-5.45345217143683	3.15970126603391	2.11454027898594	-4.20674050735237	1.51354854473059	1.20282442943437	-0.261334994611237	-1.12383976560538	0.79189084874788	2.55488338818388e-13	3.69874453059939e-14	-7.70786429474257e-14	-9.01232213856851e-15	-8.60097583432751e-16	-5.45905009564918e-14	2.72208471041591e-14	1.84117044527143e-14	4.95839263744968e-14	-1.88896749804546e-14	-3.93113276306312e-14	2.58829958334206e-14	-1.78602792277882e-14	6.76599618346096e-14	-4.54588488163141e-14	6.24571466593948e-14	-6.2905410047609e-14	2.71137279295175e-14
