genes	logFC	logCPM	F	PValue	FDR	DE
ENSMUSG00000021760	Gpx8	-0.567941175084769	6.24637284638546	85.7545120275267	9.72200743446274e-13	1.34901801348554e-08	NS
ENSMUSG00000038936	Sccpdh	-0.389685377416835	6.52606963808897	83.0038532003211	1.34484898164245e-12	1.34901801348554e-08	NS
ENSMUSG00000025066	Sfr1	-0.240271098812166	8.56760447915075	80.789188404307	2.11202846227146e-12	1.41238383366967e-08	NS
ENSMUSG00000016559	H3f3b	-0.231811997871264	11.0316350165298	77.4290619327109	4.25022733749408e-12	1.92959051257542e-08	NS
ENSMUSG00000106106	CT010467.1	0.706735342041999	11.8707704827584	88.7998517942607	4.8090681701112e-12	1.92959051257542e-08	up
ENSMUSG00000032324	Tspan3	-0.265447869791172	8.90798746302287	72.9966238632394	1.09970518051121e-11	3.67704755523599e-08	NS
ENSMUSG00000039105	Atp6v1g1	-0.28800083129578	8.41178359152664	70.7733171749089	1.79428492175152e-11	5.14242058573985e-08	NS
ENSMUSG00000057236	Rbbp4	-0.340624401986087	7.01027614832172	69.8945907498536	2.18264716795704e-11	5.47353343544427e-08	NS
ENSMUSG00000083992	Gm11478	0.383316980167364	4.67569952703825	67.7594308122467	3.53441579297752e-11	7.81236367953537e-08	NS
ENSMUSG00000097971	Gm26917	0.715655736661672	9.91466690580874	77.0006640380837	3.89411009846245e-11	7.81236367953537e-08	up
ENSMUSG00000019505	Ubb	-0.239379028383192	11.5842108035807	66.8426543701093	4.35856834594899e-11	7.94923619603896e-08	NS
ENSMUSG00000031799	Tpm4	-0.295046955277222	9.56847013991956	66.2507476042797	4.9944389209203e-11	8.19000274001211e-08	NS
ENSMUSG00000022257	Laptm4b	-0.59206724141161	7.77146804177655	72.587834624381	5.51923242491394e-11	8.19000274001211e-08	down
ENSMUSG00000004032	Gstm5	-0.347565478091416	8.80822233090853	65.6676590721886	5.71528453594704e-11	8.19000274001211e-08	NS
ENSMUSG00000030225	Dera	-0.254277809805468	6.94324774268087	64.912418790934	6.81251466849226e-11	8.92843792790181e-08	NS
ENSMUSG00000028618	Tmem59	-0.247267743558252	7.42395324091566	64.5527752453811	7.40968581427423e-11	8.92843792790181e-08	NS
ENSMUSG00000032320	Rcn2	-0.306698614798674	7.6726045194303	64.4637518246088	7.56571851133141e-11	8.92843792790181e-08	NS
ENSMUSG00000087943	Gm24245	0.619185959859468	5.51068177101337	65.3306278355796	8.71759206237962e-11	9.71624066419221e-08	up
ENSMUSG00000059182	Skap2	-0.348127885916775	6.93246537116459	63.4049389584741	9.70565406274855e-11	1.02481490424664e-07	NS
ENSMUSG00000047676	Rpsa-ps10	0.364149926593767	5.15581739516936	61.5416100773834	1.51294198501554e-10	1.51763210516909e-07	NS
ENSMUSG00000028293	Slc35a1	-0.298777762727829	6.05956662243462	60.0920303655792	2.14786935125849e-10	2.05193118690227e-07	NS
ENSMUSG00000025950	Idh1	-0.384918023475517	7.3945846845033	57.1434585085678	4.64990084406356e-10	4.24028685152742e-07	NS
ENSMUSG00000086324	Gm15564	0.627576027279161	7.19535810500062	61.8365347489056	5.88499862814121e-10	5.13325402077257e-07	up
