genes	logFC	logCPM	F	PValue	FDR	DE
ENSMUSG00000003436	Dll3	-0.985837539782086	4.72540760032854	81.2632084118523	7.80957394563306e-12	1.5667567249729e-07	down
ENSMUSG00000027985	Lef1	-0.512481018494578	6.16416279920808	68.3309722618533	3.73789151716324e-11	2.28415402292763e-07	NS
ENSMUSG00000042942	Greb1l	-0.524256463919437	6.86509817373405	70.0188525211906	4.48286830369214e-11	2.28415402292763e-07	NS
ENSMUSG00000060572	Mfap2	0.382566671785055	7.67635913953257	66.6515052244001	4.55419005667956e-11	2.28415402292763e-07	NS
ENSMUSG00000040972	Igsf21	-1.59061969433686	1.71093141975867	63.0845230468895	1.04702181780032e-10	4.20107034174201e-07	down
ENSMUSG00000027111	Itga6	0.904574674434667	5.04844615519563	67.7070850819836	1.53784138248065e-10	5.14202896922112e-07	up
ENSMUSG00000000392	Fap	1.77149106355164	1.53213794548601	59.8868236907823	2.25792992647767e-10	6.12318336804148e-07	up
ENSMUSG00000022108	Itm2b	0.319150456255221	7.32417579682685	59.4801934516766	2.49363762922402e-10	6.12318336804148e-07	NS
ENSMUSG00000038192	Cer1	-2.555731091273	5.65479735143233	67.360647254817	2.74691707269332e-10	6.12318336804148e-07	down
ENSMUSG00000069601	Ank3	0.504368904443028	4.71165659195053	57.9372889928624	3.64670324944548e-10	7.31601605903752e-07	NS
ENSMUSG00000051855	Mest	0.533035451001296	9.13831489584788	61.2253823482808	6.49242619417116e-10	1.14531269044236e-06	NS
ENSMUSG00000048490	Nrip1	0.514675924784697	5.71816781804048	56.4358787025303	6.8506391612543e-10	1.14531269044236e-06	NS
ENSMUSG00000054675	Tmem119	0.951736011755383	3.85963562835516	57.0726693426213	8.17514816287337e-10	1.26161401879666e-06	up
ENSMUSG00000038668	Lpar1	0.416837809187791	6.14767603192439	54.1476512563523	9.49254418742371e-10	1.28294604988655e-06	NS
ENSMUSG00000028496	Mllt3	-0.309622588797241	6.95358234367654	54.1069476352096	9.59235906105986e-10	1.28294604988655e-06	NS
ENSMUSG00000060600	Eno3	0.496950509278967	7.00764946694987	56.8880528607905	1.08411278078789e-09	1.35934191301042e-06	NS
ENSMUSG00000037138	Aff3	0.641419960691425	4.07848380612955	53.0246778781412	1.26870084719829e-09	1.49721625861718e-06	up
ENSMUSG00000027547	Sall4	-0.416638295393269	7.16580469100876	51.8060159672723	2.49544183255477e-09	2.78130855803966e-06	NS
ENSMUSG00000039607	Rbms3	0.555850860785904	4.69707124776098	49.8020092460516	2.96846207210162e-09	3.1286113539426e-06	NS
ENSMUSG00000050212	Eva1b	0.603671519590446	5.25523985753485	51.4938710041888	3.15971144337788e-09	3.1286113539426e-06	up
ENSMUSG00000030350	Prmt8	-2.85677278282352	-0.0932680371878737	49.4360277329713	3.27488976337328e-09	3.1286113539426e-06	down
ENSMUSG00000030699	Tbx6	-1.95775172206505	2.04467479969126	51.5772872469441	3.52277668960679e-09	3.21245208849507e-06	down
ENSMUSG00000033419	Snap91	-1.63955308903413	2.19380839224463	51.246280539055	3.96436439333335e-09	3.32765721314019e-06	down
ENSMUSG00000045038	Prkce	0.767520345725933	3.16460152371895	48.7127167190534	3.98084802688488e-09	3.32765721314019e-06	up
