genes	logFC	logCPM	F	PValue	FDR	DE
ENSMUSG00000022257	Laptm4b	-1.09253764300227	7.77146804177655	262.370896310309	1.56711393394224e-20	3.14394397427492e-16	down
ENSMUSG00000059182	Skap2	-0.554268310924909	6.93246537116459	173.351428164953	1.10995535046118e-18	1.11339621204761e-14	NS
ENSMUSG00000069601	Ank3	0.824947313461014	4.71165659195053	167.212898498101	2.36489100950547e-18	1.3393787715524e-14	up
ENSMUSG00000042942	Greb1l	-0.815514077734791	6.86509817373405	181.320892145973	2.89923022297889e-18	1.3393787715524e-14	down
ENSMUSG00000032383	Ppib	-0.642089496694761	6.8317372032619	164.471124434657	3.33809882253116e-18	1.3393787715524e-14	down
ENSMUSG00000039105	Atp6v1g1	-0.414768392750828	8.41178359152664	158.039758821943	7.62323243772011e-18	2.54895481942568e-14	NS
ENSMUSG00000068566	Myadm	-1.08308849704123	4.56990843966703	159.720315863378	1.00767306112961e-17	2.88799099319745e-14	down
ENSMUSG00000010911	Apip	-1.11468963401065	6.786860690593	189.939446285756	1.27105470982932e-17	3.18748744857447e-14	down
ENSMUSG00000025026	Add3	-0.789440173752186	6.28978220163093	153.066011976657	5.38797695750735e-17	1.20103993023903e-13	down
ENSMUSG00000004032	Gstm5	-0.487459113413271	8.80822233090853	139.099569413823	1.01239739144258e-16	2.0310716467121e-13	NS
ENSMUSG00000039607	Rbms3	0.889486032598057	4.69707124776098	137.932101617231	1.19717418528667e-16	2.18342804592921e-13	up
ENSMUSG00000038192	Cer1	-4.48500453632029	5.65479735143233	171.501593915577	1.80134779074384e-16	3.01155328149191e-13	down
ENSMUSG00000040972	Igsf21	-2.32079788228518	1.71093141975867	134.560728889414	1.95400239303632e-16	3.0154766160842e-13	down
ENSMUSG00000024044	Epb41l3	-1.08681295132392	6.75031270146909	161.790478013272	2.59844943986068e-16	3.66549457986132e-13	down
ENSMUSG00000027099	Mtx2	-0.467771566678824	8.02541349456449	132.267394131299	2.74062499740404e-16	3.66549457986132e-13	NS
ENSMUSG00000003436	Dll3	-1.28901296347528	4.72540760032854	148.169926340321	3.60222896919951e-16	4.51674484875504e-13	down
ENSMUSG00000027111	Itga6	1.32067077174935	5.04844615519563	152.92581439154	4.07629254781578e-16	4.81050477025177e-13	up
ENSMUSG00000038936	Sccpdh	-0.454728849128128	6.52606963808897	122.063184891421	1.3013297369641e-15	1.45040428794299e-12	NS
ENSMUSG00000037138	Aff3	0.92583346227985	4.07848380612955	119.399221637276	1.98376573966874e-15	2.09464780364391e-12	up
ENSMUSG00000026494	Kif26b	-1.0338648532887	5.26839652642863	132.228714689409	2.60414428865391e-15	2.61221713594874e-12	down
ENSMUSG00000020733	Slc9a3r1	-1.18663286638667	7.30583691099401	144.434728066746	2.79491891905389e-15	2.67007920733615e-12	down
ENSMUSG00000025066	Sfr1	-0.265554578912913	8.56760447915075	106.719256774194	1.62050356856227e-14	1.47775193602256e-11	NS
ENSMUSG00000030091	Nup210	1.05690067268744	4.00223825066145	107.761199719833	1.89378597957437e-14	1.65187540531396e-11	up
ENSMUSG00000001768	Rin2	-0.905102048894451	4.42300698834041	104.942952034884	2.87273391609831e-14	2.40136615936518e-11	down
ENSMUSG00000057715	A830018L16Rik	-1.85716290579207	2.50846382641715	105.032317019073	3.4229616333622e-14	2.7468582515405e-11	down
ENSMUSG00000022026	Olfm4	-2.14359028147449	1.65726381348892	101.758817483663	3.85771045326594e-14	2.95267003213285e-11	down
ENSMUSG00000040046	Tph1	-3.03509705474291	2.99144450603665	120.505620608913	3.97378580737648e-14	2.95267003213285e-11	down
