genes	logFC.stage25.IIvsI	logFC.stage25.IIIvsI	logFC.stage25.IIIvsII	logCPM	F	PValue	FDR	maxFC	DE
ENSMUSG00000025026	Add3	-0.285061702637893	-1.09680664847595	-0.81174494583806	6.28978220163093	25.0927637611306	2.55401082746772e-08	0.000269759380613799	-1.09680664847595	1
ENSMUSG00000039607	Rbms3	0.787612141480411	1.2953441315188	0.507731990038391	4.69707124776098	23.5390204772883	4.0271871299246e-08	0.000269759380613799	1.2953441315188	1
ENSMUSG00000038175	Mylip	-1.38695489181579	-1.45650702876049	-0.0695521369447024	3.87995213129437	23.5392725004714	4.03388566364967e-08	0.000269759380613799	-1.45650702876049	1
ENSMUSG00000024565	Sall3	-0.738178081708957	-1.07905880419665	-0.34088072248769	4.3602671340099	21.21743633074	1.45289560289942e-07	0.000604818772400451	-1.07905880419665	1
ENSMUSG00000069601	Ank3	0.58314294783005	1.03230324928354	0.449160301453495	4.71165659195053	21.1384936250615	1.51930459652712e-07	0.000604818772400451	1.03230324928354	1
ENSMUSG00000034981	Parm1	1.36994807920538	2.95465061911726	1.58470253991188	3.31585050250412	22.2889814304302	1.80884888565582e-07	0.000604818772400451	2.95465061911726	1
ENSMUSG00000051855	Mest	0.862136222550606	1.05088579802356	0.18874957547295	9.13831489584788	21.8996241794339	2.34552259486844e-07	0.000672226775689294	1.05088579802356	1
ENSMUSG00000026494	Kif26b	-0.908603678719175	-1.35768537976903	-0.449081701049859	5.26839652642863	20.5493796303249	3.75303351252005e-07	0.000865237141116112	-1.35768537976903	1
ENSMUSG00000010911	Apip	-0.394116322904453	-1.28433539982017	-0.890219076915717	6.786860690593	20.9662602115497	3.92360322560114e-07	0.000865237141116112	-1.28433539982017	1
ENSMUSG00000038192	Cer1	-2.2912582310055	-5.08488566025861	-2.79362742925311	5.65479735143233	21.1498389068378	4.31281597605479e-07	0.000865237141116112	-5.08488566025861	1
ENSMUSG00000042942	Greb1l	-0.559324330109143	-0.913000079608017	-0.353675749498874	6.86509817373405	19.5047333643033	5.45741894309932e-07	0.000927005775114527	-0.913000079608017	1
ENSMUSG00000035258	Abi3bp	0.913984446654403	1.63335311513788	0.719368668483473	3.27883462709909	18.7942952142989	5.92687689645533e-07	0.000927005775114527	1.63335311513788	1
ENSMUSG00000059493	Nhs	-1.45245039119692	-1.54344184883222	-0.0909914576352973	2.71657307758932	18.7717645375625	6.00691609833957e-07	0.000927005775114527	-1.54344184883222	1
ENSMUSG00000033769	Exoc6b	-1.10492165626899	-1.06047629203896	0.0444453642300283	4.22122551249955	18.4348911352185	7.34673456398075e-07	0.00105278706301844	-1.10492165626899	1
ENSMUSG00000019874	Fabp7	-1.34580886502692	-2.60238210422552	-1.2565732391986	4.23663229313263	19.258929102919	9.64862858729044e-07	0.00129047191145481	-2.60238210422552	1
ENSMUSG00000001768	Rin2	-0.82302125207655	-1.23720610593343	-0.414184853856878	4.42300698834041	17.4682297821577	1.40860476939803e-06	0.00167553181635289	-1.23720610593343	1
ENSMUSG00000002233	Rhoc	-0.44083178913444	-0.658586179203345	-0.217754390068905	5.55399663760886	17.3495619470046	1.41980066184822e-06	0.00167553181635289	-0.658586179203345	1
ENSMUSG00000027547	Sall4	-0.490329474864939	-0.805142021924866	-0.314812547059927	7.16580469100876	17.482742774031	1.59582468663206e-06	0.00170085015025775	-0.805142021924866	1
ENSMUSG00000027878	Notch2	-0.814879917162682	-1.08237173338951	-0.267491816226824	4.22246792642094	17.1445690305182	1.61081411897603e-06	0.00170085015025775	-1.08237173338951	1
ENSMUSG00000060600	Eno3	0.812994580210517	0.878895994680499	0.0659014144699819	7.00764946694987	17.5420944114258	1.90662518174494e-06	0.0018302585525297	0.878895994680499	1
ENSMUSG00000024663	Rab3il1	1.00521232486056	1.72180174310973	0.71658941824917	5.07357876527394	17.9959154914317	1.93673714263383e-06	0.0018302585525297	1.72180174310973	1
ENSMUSG00000027099	Mtx2	-0.187371235246707	-0.578678447979024	-0.391307212732317	8.02541349456449	16.7896167514622	2.0070625139893e-06	0.0018302585525297	-0.578678447979024	0
ENSMUSG00000040046	Tph1	-1.69253957843715	-3.44559205252208	-1.75305247408493	2.99144450603665	17.576132277316	2.53159197154019e-06	0.00201273987385341	-3.44559205252208	1
ENSMUSG00000054675	Tmem119	1.6794139233836	1.65007464510398	-0.0293392782796199	3.85963562835516	16.7833086707801	2.6521080080037e-06	0.00201273987385341	1.6794139233836	1
ENSMUSG00000057715	A830018L16Rik	-0.846494826848571	-2.49873337219386	-1.65223854534529	2.50846382641715	16.4903920787405	2.68118436892181e-06	0.00201273987385341	-2.49873337219386	1
