IvsII	IIvsIII	IvsIII	stage8	stage18	stage21	stage25	stage27	stage35	ave	stageSpecific
ENSMUSG00000003436	1	0	1	1	1	1	1	0	1	1	0
ENSMUSG00000027985	0	0	0	1	1	0	1	0	0	0	1
ENSMUSG00000042942	0	0	1	1	1	1	1	1	1	1	0
ENSMUSG00000060572	0	0	0	0	0	0	1	1	0	0	1
ENSMUSG00000040972	1	1	1	1	1	1	1	0	1	1	0
ENSMUSG00000027111	1	0	1	1	1	1	1	0	1	1	0
ENSMUSG00000000392	1	0	1	1	0	1	1	1	1	1	0
ENSMUSG00000022108	0	0	0	1	0	0	0	0	0	0	1
ENSMUSG00000038192	1	1	1	1	1	1	1	1	1	1	0
ENSMUSG00000069601	0	0	1	1	1	1	1	0	1	1	0
ENSMUSG00000051855	0	0	0	0	1	0	1	0	0	0	1
ENSMUSG00000048490	0	0	0	1	1	1	0	0	1	0	1
ENSMUSG00000054675	1	0	1	0	0	1	1	0	1	1	0
ENSMUSG00000038668	0	0	0	1	0	0	0	1	0	0	1
ENSMUSG00000028496	0	0	0	0	0	0	0	1	1	0	1
ENSMUSG00000060600	0	0	0	0	1	0	1	0	0	0	1
ENSMUSG00000037138	1	0	1	0	1	1	1	0	1	1	0
ENSMUSG00000027547	0	0	0	1	0	0	1	0	1	0	1
ENSMUSG00000039607	0	0	1	1	0	1	1	0	1	1	0
ENSMUSG00000050212	1	0	1	1	1	1	0	0	1	1	0
ENSMUSG00000030350	1	0	1	1	0	0	1	0	0	1	0
ENSMUSG00000030699	1	0	1	1	1	1	0	0	1	1	0
ENSMUSG00000033419	1	0	1	1	1	1	1	0	1	1	0
ENSMUSG00000045038	1	0	1	1	0	1	1	0	1	1	0
ENSMUSG00000022257	0	1	1	1	1	1	1	1	1	1	0
ENSMUSG00000035258	1	0	0	0	1	1	1	1	0	1	0
ENSMUSG00000003617	1	0	1	1	0	1	0	0	1	1	0
ENSMUSG00000020542	1	0	1	1	1	1	1	0	1	1	0
ENSMUSG00000024534	1	0	1	1	1	1	1	0	1	1	0
ENSMUSG00000039497	0	0	0	0	0	0	1	1	0	0	1
ENSMUSG00000068748	1	0	1	1	1	0	1	0	1	1	0
ENSMUSG00000026494	1	0	1	1	1	1	1	0	1	1	0
ENSMUSG00000008035	1	0	1	0	1	0	1	0	1	1	0
ENSMUSG00000029163	0	0	0	0	0	1	0	0	1	0	1
ENSMUSG00000087521	1	0	1	1	1	1	1	0	0	1	0
ENSMUSG00000041700	1	0	1	1	1	0	0	0	0	1	0
ENSMUSG00000018973	1	0	1	0	0	1	0	0	1	1	0
ENSMUSG00000027878	0	0	1	1	0	1	1	0	0	1	0
ENSMUSG00000048078	0	0	1	0	1	0	1	1	1	1	0
ENSMUSG00000020577	0	0	0	0	1	0	1	0	0	0	1
ENSMUSG00000022895	0	0	0	0	1	0	1	0	0	0	1
ENSMUSG00000032537	1	0	1	1	0	1	1	0	1	1	0
ENSMUSG00000025082	1	0	1	1	1	0	1	0	1	1	0
ENSMUSG00000022676	1	0	1	0	0	1	1	0	1	1	0
ENSMUSG00000062980	1	0	1	1	1	1	0	0	0	1	0
ENSMUSG00000031595	1	0	1	1	0	0	0	0	0	1	0
ENSMUSG00000068566	0	0	1	1	1	1	1	0	1	1	0
ENSMUSG00000019055	1	0	1	1	0	0	0	0	0	1	0
ENSMUSG00000019841	0	0	0	1	0	1	0	1	0	0	1
ENSMUSG00000027712	0	0	0	1	0	0	1	0	0	0	1
ENSMUSG00000024565	0	0	0	0	0	0	1	1	0	0	1
ENSMUSG00000054863	0	0	0	0	0	0	0	0	1	0	1
ENSMUSG00000022483	1	0	1	1	1	1	1	0	1	1	0
ENSMUSG00000085399	1	0	1	0	1	0	0	0	0	1	0
ENSMUSG00000030606	1	0	1	1	1	1	0	0	0	1	0
ENSMUSG00000030067	0	0	1	1	1	1	1	0	1	1	0
ENSMUSG00000027955	1	0	1	1	0	0	0	0	1	1	0
ENSMUSG00000022026	1	1	1	0	1	1	0	0	1	1	0
ENSMUSG00000027380	1	0	1	1	0	0	1	0	0	1	0
ENSMUSG00000066026	1	0	0	1	0	0	1	1	0	1	0
ENSMUSG00000057715	1	1	1	1	0	1	1	0	1	1	0
ENSMUSG00000025026	0	0	1	0	1	1	1	1	1	1	0
ENSMUSG00000028289	1	0	1	1	0	1	1	0	1	1	0
ENSMUSG00000024663	1	0	1	1	0	1	1	0	1	1	0
ENSMUSG00000025780	1	0	1	1	0	0	0	1	1	1	0
ENSMUSG00000109284	1	0	1	0	0	1	0	0	0	1	0
ENSMUSG00000050953	0	0	0	0	0	0	0	1	0	0	1
ENSMUSG00000085323	1	0	1	1	0	0	0	0	0	1	0
ENSMUSG00000001436	0	0	0	0	0	1	0	0	1	0	1
ENSMUSG00000043456	1	0	1	1	0	0	0	0	1	1	0
ENSMUSG00000030287	1	0	1	1	1	0	0	0	0	1	0
ENSMUSG00000089901	0	0	0	0	1	0	0	0	0	0	1
ENSMUSG00000034613	1	0	1	0	0	0	0	0	1	1	0
ENSMUSG00000033737	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000036155	0	0	1	0	1	1	1	0	1	1	0
ENSMUSG00000004661	0	0	0	0	0	0	0	0	1	0	1
ENSMUSG00000036422	1	0	1	1	0	0	0	0	1	1	0
ENSMUSG00000068220	0	0	1	1	1	1	0	0	1	1	0
ENSMUSG00000037708	1	0	1	1	0	0	0	1	0	1	0
ENSMUSG00000115263	1	0	1	0	1	0	0	0	1	1	0
ENSMUSG00000051323	1	0	1	1	1	0	0	0	1	1	0
ENSMUSG00000027803	0	0	0	1	0	1	1	0	0	0	1
ENSMUSG00000031351	1	0	1	1	0	1	1	0	0	1	0
ENSMUSG00000024901	1	0	1	0	1	1	0	0	1	1	0
ENSMUSG00000001768	0	0	1	0	1	1	1	0	1	1	0
ENSMUSG00000092035	1	0	1	0	1	1	1	0	1	1	0
ENSMUSG00000020733	1	1	1	1	1	1	1	0	1	1	0
ENSMUSG00000000296	0	0	1	1	0	0	0	0	1	1	0
ENSMUSG00000032014	0	0	0	0	0	0	0	1	0	0	1
ENSMUSG00000035200	1	0	1	1	0	1	1	0	1	1	0
ENSMUSG00000028645	0	0	0	0	1	0	0	1	0	0	1
ENSMUSG00000001300	1	0	1	1	0	0	0	0	1	1	0
ENSMUSG00000030102	0	0	1	0	1	0	1	1	1	1	0
ENSMUSG00000046743	1	0	1	1	0	1	0	0	0	1	0
ENSMUSG00000021591	1	0	1	1	0	0	0	0	0	1	0
ENSMUSG00000033769	0	0	1	0	1	1	1	0	0	1	0
ENSMUSG00000024713	1	0	1	1	1	0	1	0	1	1	0
ENSMUSG00000059991	1	0	1	0	1	0	0	0	1	1	0
ENSMUSG00000051817	0	0	0	0	0	1	0	0	0	0	1
ENSMUSG00000020695	0	0	0	0	0	1	1	0	1	0	1
ENSMUSG00000010911	0	1	1	1	1	1	1	0	1	1	0
ENSMUSG00000037031	1	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000111577	1	0	1	0	1	1	0	0	1	1	0
ENSMUSG00000068735	1	0	1	1	0	1	0	0	1	1	0
ENSMUSG00000042961	1	0	1	0	0	1	1	0	1	1	0
ENSMUSG00000029563	1	0	1	1	0	1	0	0	1	1	0
ENSMUSG00000029552	0	0	0	1	0	0	0	0	1	0	1
ENSMUSG00000053963	1	1	1	1	0	1	0	0	1	1	0
ENSMUSG00000032383	0	0	1	1	0	1	1	0	1	1	0
ENSMUSG00000050732	0	0	1	0	1	1	0	0	1	1	0
ENSMUSG00000032766	1	0	0	0	0	0	0	0	1	1	0
ENSMUSG00000069763	1	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000051379	0	0	0	1	1	0	0	0	0	0	1
ENSMUSG00000032452	1	1	1	1	1	1	1	0	1	1	0
ENSMUSG00000022231	0	0	0	0	0	1	0	1	0	0	1
ENSMUSG00000021286	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000567	1	0	1	0	1	1	1	0	1	1	0
ENSMUSG00000038175	0	0	1	0	0	1	1	0	0	1	0
ENSMUSG00000061132	1	1	1	1	1	1	1	0	1	1	0
ENSMUSG00000039481	1	0	1	0	1	0	1	0	1	1	0
ENSMUSG00000053475	1	0	1	1	0	0	0	0	0	1	0
ENSMUSG00000024654	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000021136	1	0	0	0	0	0	0	0	1	1	0
ENSMUSG00000026418	0	0	1	0	1	1	1	0	1	1	0
ENSMUSG00000021215	0	0	0	1	0	0	0	0	0	0	1
ENSMUSG00000027669	0	0	0	0	0	0	1	0	0	0	1
ENSMUSG00000008398	0	0	0	0	0	0	0	0	0	0	0
