average	somiteI	somiteII	somiteIII	somiteSpecific
ENSMUSG00000022186	1	1	1	1	0
ENSMUSG00000036030	1	1	1	1	0
ENSMUSG00000063972	1	1	1	1	0
ENSMUSG00000001823	1	1	1	1	0
ENSMUSG00000025950	1	1	1	1	0
ENSMUSG00000021458	1	1	1	1	0
ENSMUSG00000032051	1	1	1	1	0
ENSMUSG00000032314	1	1	1	1	0
ENSMUSG00000043439	1	1	1	1	0
ENSMUSG00000051748	1	1	1	1	0
ENSMUSG00000059447	1	1	1	1	0
ENSMUSG00000020022	1	1	1	1	0
ENSMUSG00000002233	1	1	1	1	0
ENSMUSG00000019874	1	1	1	1	0
ENSMUSG00000070003	1	1	1	1	0
ENSMUSG00000071553	1	1	1	1	0
ENSMUSG00000050966	1	1	1	1	0
ENSMUSG00000001819	1	1	1	1	0
ENSMUSG00000023832	1	1	1	1	0
ENSMUSG00000027997	1	1	1	1	0
ENSMUSG00000034880	1	1	1	1	0
ENSMUSG00000024909	1	1	1	1	0
ENSMUSG00000029844	1	1	1	1	0
ENSMUSG00000079259	1	1	1	1	0
ENSMUSG00000021760	1	1	1	1	0
ENSMUSG00000020601	1	1	1	1	0
ENSMUSG00000026003	1	1	1	1	0
ENSMUSG00000024538	1	1	1	1	0
ENSMUSG00000006717	1	1	1	1	0
ENSMUSG00000024725	1	1	1	1	0
ENSMUSG00000079508	1	1	1	1	0
ENSMUSG00000086427	1	1	1	1	0
ENSMUSG00000025630	1	1	1	1	0
ENSMUSG00000042834	1	1	1	1	0
ENSMUSG00000069662	1	1	1	1	0
ENSMUSG00000056468	1	1	1	1	0
ENSMUSG00000005681	1	1	1	1	0
ENSMUSG00000002661	1	1	1	1	0
ENSMUSG00000038717	1	1	1	1	0
ENSMUSG00000016344	1	1	1	1	0
ENSMUSG00000031383	1	1	1	1	0
ENSMUSG00000020009	1	1	1	1	0
ENSMUSG00000027102	1	1	1	1	0
ENSMUSG00000029864	1	1	1	1	0
ENSMUSG00000029007	1	1	1	1	0
ENSMUSG00000032667	1	1	1	1	0
ENSMUSG00000043501	1	1	1	1	0
ENSMUSG00000006800	1	1	1	1	0
ENSMUSG00000024177	1	1	1	1	0
ENSMUSG00000017390	1	1	1	1	0
ENSMUSG00000024503	1	1	1	1	0
ENSMUSG00000030934	1	1	1	1	0
ENSMUSG00000008575	1	1	1	1	0
ENSMUSG00000063696	1	1	1	1	0
ENSMUSG00000050010	1	1	1	1	0
ENSMUSG00000024132	1	1	1	1	0
ENSMUSG00000017485	1	1	1	1	0
ENSMUSG00000027478	1	1	1	1	0
ENSMUSG00000028766	1	1	1	1	0
ENSMUSG00000000295	1	1	1	1	0
ENSMUSG00000013415	1	1	1	1	0
ENSMUSG00000038236	1	1	1	1	0
ENSMUSG00000050043	1	1	1	1	0
ENSMUSG00000032083	1	1	1	1	0
ENSMUSG00000025203	1	1	1	1	0
ENSMUSG00000033420	1	1	1	1	0
ENSMUSG00000020029	1	1	1	1	0
ENSMUSG00000024619	1	1	1	1	0
ENSMUSG00000025781	1	1	1	1	0
ENSMUSG00000030246	1	1	1	1	0
ENSMUSG00000001657	1	1	1	1	0
ENSMUSG00000026568	1	1	1	1	0
ENSMUSG00000086903	1	1	1	1	0
ENSMUSG00000030220	1	1	1	1	0
ENSMUSG00000028307	1	1	1	1	0
ENSMUSG00000063065	1	1	1	1	0
ENSMUSG00000040808	1	1	1	1	0
ENSMUSG00000037060	1	1	1	1	0
ENSMUSG00000014846	1	1	1	1	0
ENSMUSG00000004032	1	1	1	1	0
ENSMUSG00000019872	1	1	1	1	0
ENSMUSG00000035168	1	1	1	1	0
ENSMUSG00000038721	1	1	1	1	0
ENSMUSG00000050368	1	1	1	1	0
ENSMUSG00000029718	1	1	1	1	0
ENSMUSG00000001656	1	1	1	1	0
ENSMUSG00000035258	1	1	1	1	0
ENSMUSG00000042499	1	1	1	1	0
ENSMUSG00000067860	1	1	1	1	0
ENSMUSG00000010760	1	1	1	1	0
ENSMUSG00000009646	1	1	1	1	0
ENSMUSG00000038253	1	1	1	1	0
ENSMUSG00000023094	1	1	1	1	0
ENSMUSG00000004897	1	1	1	1	0
ENSMUSG00000027900	1	1	1	1	0
ENSMUSG00000001661	1	1	1	1	0
ENSMUSG00000001240	1	1	1	1	0
ENSMUSG00000036478	1	1	1	1	0
ENSMUSG00000018822	1	1	1	1	0
ENSMUSG00000032047	1	1	1	1	0
ENSMUSG00000049775	1	1	1	1	0
ENSMUSG00000020875	1	1	1	1	0
ENSMUSG00000042436	1	1	1	1	0
ENSMUSG00000027160	1	1	1	1	0
ENSMUSG00000024990	1	1	1	1	0
ENSMUSG00000072235	1	1	1	1	0
ENSMUSG00000061808	1	1	1	1	0
ENSMUSG00000026726	1	1	1	1	0
ENSMUSG00000020415	1	1	1	1	0
ENSMUSG00000002985	1	1	1	1	0
ENSMUSG00000036880	1	1	1	1	0
ENSMUSG00000024644	1	1	1	1	0
ENSMUSG00000004035	1	1	1	1	0
ENSMUSG00000063856	1	1	1	1	0
ENSMUSG00000022419	1	1	1	1	0
ENSMUSG00000087365	1	1	1	1	0
ENSMUSG00000021994	1	1	1	1	0
ENSMUSG00000035413	1	1	1	1	0
ENSMUSG00000021728	1	1	1	1	0
ENSMUSG00000038227	1	1	1	1	0
ENSMUSG00000034765	1	1	1	1	0
ENSMUSG00000030638	1	1	1	1	0
ENSMUSG00000033685	1	1	1	1	0
ENSMUSG00000037071	1	1	1	1	0
ENSMUSG00000001467	1	1	1	1	0
ENSMUSG00000078706	1	1	1	1	0
ENSMUSG00000018451	1	1	1	1	0
ENSMUSG00000060572	1	1	1	1	0
ENSMUSG00000001999	1	1	1	1	0
ENSMUSG00000042043	1	1	1	1	0
ENSMUSG00000004661	1	1	1	1	0
ENSMUSG00000054452	1	1	1	1	0
ENSMUSG00000039542	1	1	1	1	0
ENSMUSG00000023020	1	1	1	1	0
ENSMUSG00000026385	1	1	1	1	0
ENSMUSG00000018339	1	1	1	1	0
ENSMUSG00000040118	1	1	1	1	0
ENSMUSG00000006369	1	1	1	1	0
ENSMUSG00000028597	1	1	1	1	0
ENSMUSG00000001497	1	1	1	1	0
ENSMUSG00000030725	1	1	1	1	0
ENSMUSG00000038679	1	1	1	1	0
ENSMUSG00000029762	1	1	1	1	0
ENSMUSG00000021273	1	1	1	1	0
ENSMUSG00000022283	1	1	1	1	0
ENSMUSG00000028643	1	1	1	1	0
ENSMUSG00000004891	1	1	1	1	0
ENSMUSG00000000938	1	1	1	1	0
ENSMUSG00000024391	1	1	1	1	0
ENSMUSG00000000861	1	1	1	1	0
ENSMUSG00000015090	1	1	1	1	0
ENSMUSG00000024782	1	1	1	1	0
ENSMUSG00000052371	1	1	1	1	0
ENSMUSG00000081603	1	1	1	1	0
ENSMUSG00000021643	1	1	1	1	0
ENSMUSG00000041571	1	1	1	1	0
ENSMUSG00000050029	1	1	1	1	0
ENSMUSG00000038668	1	1	1	1	0
ENSMUSG00000025466	1	1	1	1	0
ENSMUSG00000046402	1	1	1	1	0
ENSMUSG00000097906	1	1	1	1	0
ENSMUSG00000026393	1	1	1	1	0
ENSMUSG00000112825	1	1	1	1	0
ENSMUSG00000020609	1	1	1	1	0
ENSMUSG00000029622	1	1	1	1	0
ENSMUSG00000029309	1	1	1	1	0
ENSMUSG00000022053	1	1	1	1	0
ENSMUSG00000028832	1	1	1	1	0
ENSMUSG00000029029	1	1	1	1	0
ENSMUSG00000048371	1	1	1	1	0
ENSMUSG00000045690	1	1	1	1	0
ENSMUSG00000026260	1	1	1	0	0
ENSMUSG00000064181	1	1	1	1	0
ENSMUSG00000040363	1	1	1	1	0
ENSMUSG00000041592	1	1	1	1	0
ENSMUSG00000020623	1	1	1	1	0
ENSMUSG00000035199	1	1	1	1	0
ENSMUSG00000045330	1	1	1	1	0
ENSMUSG00000007872	1	1	1	1	0
ENSMUSG00000025608	1	1	1	1	0
ENSMUSG00000041119	1	1	1	1	0
ENSMUSG00000050288	1	1	1	1	0
ENSMUSG00000043342	1	1	1	1	0
ENSMUSG00000019797	1	1	1	1	0
ENSMUSG00000056076	1	0	1	1	0
ENSMUSG00000030707	1	1	1	1	0
ENSMUSG00000009418	1	1	1	1	0
ENSMUSG00000029153	1	1	1	1	0
ENSMUSG00000018593	1	1	1	1	0
ENSMUSG00000021806	1	1	1	1	0
ENSMUSG00000081344	1	1	1	1	0
ENSMUSG00000066705	1	1	1	1	0
ENSMUSG00000006456	1	1	1	1	0
ENSMUSG00000038400	1	1	1	1	0
ENSMUSG00000025525	1	1	1	1	0
ENSMUSG00000026150	0	1	0	0	1
ENSMUSG00000010663	1	1	1	1	0
ENSMUSG00000107383	1	1	1	1	0
ENSMUSG00000053477	1	1	1	1	0
ENSMUSG00000110275	1	1	1	1	0
ENSMUSG00000022949	1	1	1	1	0
ENSMUSG00000093930	1	1	1	1	0
ENSMUSG00000053453	1	1	1	1	0
ENSMUSG00000001622	1	1	1	1	0
ENSMUSG00000022150	1	1	1	1	0
ENSMUSG00000027423	1	0	1	1	0
ENSMUSG00000036158	1	1	1	1	0
ENSMUSG00000030579	1	1	1	1	0
ENSMUSG00000032411	1	1	1	1	0
ENSMUSG00000060438	1	1	1	1	0
ENSMUSG00000036139	1	1	1	1	0
ENSMUSG00000027940	0	0	0	1	1
ENSMUSG00000028221	1	1	1	1	0
ENSMUSG00000027010	1	1	1	1	0
ENSMUSG00000032239	1	1	1	1	0
ENSMUSG00000006589	1	1	1	1	0
ENSMUSG00000081434	1	1	1	1	0
ENSMUSG00000017639	1	1	1	1	0
ENSMUSG00000036073	1	1	1	1	0
ENSMUSG00000013584	1	1	1	1	0
ENSMUSG00000015568	1	1	1	1	0
ENSMUSG00000028601	1	1	1	1	0
ENSMUSG00000022557	1	1	1	1	0
ENSMUSG00000044080	1	1	1	1	0
ENSMUSG00000027962	1	1	1	1	0
ENSMUSG00000033105	1	1	1	1	0
ENSMUSG00000052187	1	1	1	1	0
ENSMUSG00000087626	1	1	1	1	0
ENSMUSG00000021892	1	1	1	1	0
ENSMUSG00000034485	1	1	1	1	0
ENSMUSG00000033837	1	1	1	1	0
ENSMUSG00000032327	1	1	1	1	0
ENSMUSG00000059412	1	1	1	1	0
ENSMUSG00000006356	1	1	1	1	0
ENSMUSG00000068101	1	1	1	1	0
ENSMUSG00000021809	1	1	1	1	0
ENSMUSG00000032228	1	1	1	1	0
ENSMUSG00000062980	1	1	1	1	0
ENSMUSG00000028645	1	1	1	1	0
ENSMUSG00000053898	1	1	1	1	0
ENSMUSG00000037736	1	1	1	1	0
ENSMUSG00000031012	1	1	1	1	0
ENSMUSG00000025352	1	1	1	1	0
ENSMUSG00000000628	1	0	1	1	0
ENSMUSG00000022677	1	1	1	1	0
ENSMUSG00000029673	1	1	1	1	0
ENSMUSG00000028218	1	1	1	1	0
ENSMUSG00000030268	1	0	1	1	0
ENSMUSG00000003161	1	1	1	0	0
ENSMUSG00000022206	1	1	1	1	0
ENSMUSG00000002728	1	1	1	0	0
ENSMUSG00000027074	1	1	1	1	0
ENSMUSG00000029432	1	1	1	1	0
ENSMUSG00000025791	1	1	1	1	0
ENSMUSG00000020612	0	0	0	1	1
ENSMUSG00000040596	1	1	1	1	0
ENSMUSG00000085042	1	1	1	1	0
ENSMUSG00000034724	1	1	1	1	0
ENSMUSG00000029231	1	1	1	1	0
ENSMUSG00000083899	1	1	1	1	0
ENSMUSG00000085696	1	1	1	1	0
ENSMUSG00000032492	1	1	1	1	0
ENSMUSG00000013846	1	1	1	1	0
ENSMUSG00000026360	1	1	1	1	0
ENSMUSG00000051154	1	1	1	0	0
ENSMUSG00000115987	1	1	1	0	0
ENSMUSG00000032601	1	1	1	1	0
ENSMUSG00000046865	1	1	1	1	0
ENSMUSG00000031950	1	1	1	1	0
ENSMUSG00000036155	1	1	1	1	0
ENSMUSG00000027495	1	1	1	1	0
ENSMUSG00000039960	1	1	1	1	0
ENSMUSG00000041126	1	1	1	1	0
ENSMUSG00000010064	1	1	1	1	0
ENSMUSG00000027078	1	1	1	1	0
ENSMUSG00000005161	1	1	1	1	0
ENSMUSG00000020782	1	1	1	1	0
ENSMUSG00000015176	1	0	1	1	0
ENSMUSG00000029168	1	1	1	1	0
ENSMUSG00000028527	1	1	1	1	0
ENSMUSG00000006517	1	1	1	1	0
ENSMUSG00000039239	1	1	1	1	0
ENSMUSG00000021417	1	1	1	1	0
ENSMUSG00000045160	1	1	1	1	0
ENSMUSG00000063439	1	1	1	1	0
ENSMUSG00000039620	1	1	1	1	0
ENSMUSG00000029729	1	1	1	1	0
ENSMUSG00000024397	1	1	1	1	0
ENSMUSG00000033940	1	0	1	1	0
ENSMUSG00000047497	1	1	1	1	0
ENSMUSG00000004929	1	1	1	1	0
ENSMUSG00000028557	1	1	1	1	0
ENSMUSG00000000093	1	1	1	1	0
ENSMUSG00000023911	1	1	1	1	0
ENSMUSG00000032018	1	1	1	1	0
ENSMUSG00000005397	1	1	1	1	0
ENSMUSG00000074129	1	1	1	0	0
ENSMUSG00000036186	1	1	1	1	0
ENSMUSG00000029084	1	1	1	1	0
ENSMUSG00000033916	1	1	1	1	0
ENSMUSG00000028961	0	0	1	0	1
ENSMUSG00000060019	1	1	1	1	0
ENSMUSG00000059775	1	1	1	1	0
ENSMUSG00000031591	1	1	1	1	0
ENSMUSG00000022370	1	1	1	0	0
ENSMUSG00000022098	1	1	1	1	0
ENSMUSG00000027690	1	1	1	1	0
ENSMUSG00000020440	1	1	1	1	0
ENSMUSG00000008398	1	1	1	1	0
ENSMUSG00000029003	1	1	1	1	0
ENSMUSG00000027177	1	1	1	1	0
ENSMUSG00000041959	1	1	1	1	0
ENSMUSG00000033581	1	1	1	1	0
ENSMUSG00000041220	1	1	1	1	0
ENSMUSG00000051517	1	1	1	1	0
ENSMUSG00000059498	1	1	1	1	0
ENSMUSG00000036832	1	1	1	1	0
ENSMUSG00000004187	1	1	1	1	0
ENSMUSG00000055235	1	1	1	1	0
ENSMUSG00000025034	1	1	1	1	0
ENSMUSG00000011752	0	0	1	1	1
ENSMUSG00000095677	1	1	1	1	0
ENSMUSG00000067586	1	1	1	1	0
ENSMUSG00000029545	1	1	1	1	0
ENSMUSG00000028399	1	1	1	1	0
ENSMUSG00000030541	0	1	0	0	1
ENSMUSG00000025068	1	1	1	1	0
ENSMUSG00000031673	1	1	1	1	0
ENSMUSG00000026728	1	1	1	1	0
ENSMUSG00000106037	1	1	1	1	0
ENSMUSG00000000682	1	1	1	1	0
ENSMUSG00000007041	1	1	1	1	0
ENSMUSG00000046711	1	1	1	1	0
ENSMUSG00000042670	1	1	1	0	0
ENSMUSG00000058056	1	1	1	1	0
ENSMUSG00000049288	1	1	1	1	0
ENSMUSG00000007097	1	1	1	1	0
ENSMUSG00000091955	1	1	1	1	0
ENSMUSG00000056313	1	1	1	1	0
ENSMUSG00000046818	1	1	1	1	0
ENSMUSG00000026966	0	0	1	0	1
ENSMUSG00000031586	1	1	1	1	0
ENSMUSG00000046814	1	1	1	1	0
ENSMUSG00000031839	1	0	1	0	0
ENSMUSG00000009863	1	1	1	1	0
ENSMUSG00000072692	1	1	1	1	0
ENSMUSG00000040158	1	1	1	1	0
ENSMUSG00000033220	1	1	1	1	0
ENSMUSG00000025268	1	1	1	1	0
ENSMUSG00000028295	1	1	1	1	0
ENSMUSG00000050608	1	0	1	1	0
ENSMUSG00000036402	1	1	1	1	0
ENSMUSG00000024997	1	1	1	1	0
ENSMUSG00000024598	1	1	1	1	0
ENSMUSG00000026234	1	0	1	1	0
ENSMUSG00000040945	1	1	1	1	0
ENSMUSG00000059878	1	1	1	1	0
ENSMUSG00000026283	1	1	1	1	0
ENSMUSG00000040794	1	1	1	1	0
ENSMUSG00000055760	1	1	1	1	0
ENSMUSG00000070720	1	1	1	1	0
ENSMUSG00000034324	1	1	1	1	0
ENSMUSG00000028780	1	1	1	1	0
ENSMUSG00000022332	1	1	1	1	0
ENSMUSG00000019817	1	1	1	1	0
ENSMUSG00000047844	1	1	1	1	0
ENSMUSG00000063632	1	1	1	1	0
ENSMUSG00000038718	1	1	1	1	0
ENSMUSG00000078193	0	1	0	1	1
ENSMUSG00000032126	1	1	1	1	0
ENSMUSG00000030876	1	1	1	0	0
ENSMUSG00000032294	0	0	1	0	1
ENSMUSG00000038700	1	1	1	1	0
ENSMUSG00000053644	1	1	0	1	0
ENSMUSG00000032656	1	1	1	1	0
ENSMUSG00000031428	1	1	1	1	0
ENSMUSG00000009681	1	1	1	1	0
ENSMUSG00000001674	1	0	0	1	0
ENSMUSG00000022472	1	1	1	1	0
ENSMUSG00000022351	1	1	1	1	0
ENSMUSG00000028082	1	1	1	1	0
ENSMUSG00000047604	1	1	1	1	0
ENSMUSG00000090523	1	1	1	1	0
ENSMUSG00000021540	1	1	1	1	0
ENSMUSG00000027099	1	1	1	1	0
ENSMUSG00000024799	1	1	1	1	0
ENSMUSG00000038422	1	1	1	1	0
ENSMUSG00000031198	1	0	1	1	0
ENSMUSG00000030431	1	1	1	1	0
ENSMUSG00000030688	1	1	1	1	0
ENSMUSG00000018509	1	1	1	1	0
ENSMUSG00000032381	1	1	1	0	0
ENSMUSG00000024845	1	0	1	1	0
ENSMUSG00000082536	1	1	0	1	0
ENSMUSG00000058258	1	1	1	1	0
ENSMUSG00000034486	1	1	1	1	0
ENSMUSG00000026883	1	1	1	1	0
ENSMUSG00000021701	1	1	1	1	0
ENSMUSG00000052151	1	1	1	1	0
ENSMUSG00000019139	1	1	1	1	0
ENSMUSG00000035885	1	0	1	1	0
ENSMUSG00000025161	1	1	1	1	0
ENSMUSG00000028433	1	1	1	1	0
ENSMUSG00000000253	1	1	1	1	0
ENSMUSG00000025915	1	1	1	1	0
ENSMUSG00000022964	1	1	1	1	0
ENSMUSG00000031360	1	1	1	1	0
ENSMUSG00000083992	1	1	1	1	0
ENSMUSG00000045294	1	1	1	1	0
ENSMUSG00000030695	1	0	1	1	0
