seqnames	start	end	width	strand	nWindows	logFC.stage18.IIvsI.up	logFC.stage18.IIvsI.down	logFC.stage18.IIIvsI.up	logFC.stage18.IIIvsI.down	logFC.stage18.IIIvsII.up	logFC.stage18.IIIvsII.down	PValue	FDR	best	logFC.stage18.IIvsI	logFC.stage18.IIIvsI	logFC.stage18.IIIvsII	logCPM
chr1	3197401	3198100	700	*	12	0	7	0	11	0	10	0.000849581295241632	0.2057331309924	12	-1.25354696416563	-2.09036195787895	-0.83681499371332	-1.18279143233301
chr1	3444051	3444400	350	*	5	0	4	0	5	1	0	0.0833915906114074	0.825753433646072	19	-1.10769492914633	-1.27703842912785	-0.169343499981521	-1.2558422823981
chr1	4228251	4228400	150	*	1	0	1	0	1	0	1	0.0190114506296023	0.592970378719055	96	-1.05909246587677	-1.9641148984099	-0.905022432533129	-1.70693406032976
chr1	4571151	4572450	1300	*	24	0	5	0	9	0	5	0.0688525934552343	0.794313163655631	247	-1.30434456753868	-1.65912864601487	-0.354784078476193	-1.3565863748925
chr1	4760551	4760800	250	*	3	0	3	0	0	3	0	0.00286868202101902	0.326517423015581	330	-5.43245027329124	0.00895435141458934	5.44140462470583	-1.63429605035077
chr1	5108051	5109400	1350	*	22	0	2	0	20	0	17	0.0044330172924771	0.374159301939006	583	-0.272168761351671	-1.00340841479702	-0.731239653445347	0.855779440336589
chr1	6005751	6006200	450	*	7	0	7	0	6	5	0	0.0443029379936209	0.72082902372639	722	-2.25469612562915	-1.66763578207813	0.587060343551021	-1.48676488123727
chr1	6022601	6023150	550	*	7	0	7	0	7	0	6	0.012819223570579	0.532034703450956	728	-0.656732731615015	-1.44128755637418	-0.784554824759169	-0.804057793238204
chr1	6152451	6152950	500	*	8	2	0	0	6	0	7	0.0948302319269455	0.849106262579016	750	0.69089201708469	-0.991097083206507	-1.6819891002912	-1.25475817640359
chr1	6358651	6359550	900	*	16	0	2	0	5	0	4	0.0839951622286826	0.826994336569754	819	-0.682801408006106	-1.97011186105908	-1.28731045305298	-1.08180773978506
chr1	6453951	6454650	700	*	12	1	0	0	10	0	10	0.0636224531520897	0.780990389148019	926	-0.469562728634666	-1.85107695104177	-1.3815142224071	-1.40637174383044
chr1	6455351	6456350	1000	*	18	0	12	0	18	0	8	0.0850869482593091	0.828573673283004	944	-0.755497608706122	-1.12887634309695	-0.373378734390826	-0.818922656295484
chr1	7087851	7088950	1100	*	20	1	0	0	5	0	5	0.0737893556663252	0.803365870163295	1067	-0.305041304093347	-1.14772487862988	-0.842683574536529	-0.0683767956954634
chr1	7105001	7105900	900	*	16	0	1	0	16	0	13	0.0104599689306181	0.497646986175864	1100	-0.445590990477491	-2.19653498974823	-1.75094399927074	-1.24519714531278
chr1	7776701	7777750	1050	*	19	0	11	0	10	3	3	0.0819484152429572	0.82183407930112	1226	-0.959578593126641	-1.74028602464488	-0.78070743151824	-1.57289983417338
chr1	8410551	8411100	550	*	9	0	6	0	5	2	0	0.0331888434769256	0.678082231290665	1277	-1.40445550134534	-1.37852282312001	0.0259326782253257	-1.21465493636956
chr1	9544801	9545800	1000	*	18	0	0	6	0	4	0	0.0427741577530118	0.716181566977338	1381	0.1198712829376	1.01577515812153	0.895903875183932	-0.179147991451073
chr1	9578301	9579600	1300	*	24	1	2	4	6	2	6	0.0240800744165744	0.630912597943123	1482	0.229539188378279	0.835747456821788	0.606208268443509	0.791462731162339
chr1	9621951	9622800	850	*	12	2	7	8	0	10	0	0.0500415355896885	0.740646425697032	1527	-2.71463203252666	0.802189620414947	3.51682165294161	-1.49732533095298
chr1	9937201	9937950	750	*	13	1	2	0	5	0	6	0.0959096616523473	0.851831330423203	1873	-0.96966591473589	-1.90041203321678	-0.930746118480892	-1.65405689864265
chr1	10114851	10115350	500	*	5	0	4	0	3	4	0	0.0273107787672036	0.648255013226585	2126	-2.136385752477	-0.92620211918799	1.21018363328901	-1.57852302041931
chr1	10285101	10286400	1300	*	23	15	1	14	1	0	1	0.0277905869911855	0.651086853276738	2229	2.48793053399813	2.92876959487447	0.440839060876339	-1.15147639622903
chr1	10596401	10597150	750	*	10	0	9	0	9	1	5	0.0103180258087733	0.494938782288378	2265	-1.10025240408454	-2.24975248914647	-1.14950008506193	-1.31852989840881
chr1	10759501	10759900	400	*	6	0	2	0	1	2	0	0.0547419735401832	0.754960673771334	2311	-2.74474751695197	-0.307844137208799	2.43690337974317	-1.67709883404554
chr1	10992851	10993950	1100	*	20	0	6	0	8	2	4	0.0354561171499465	0.68958358957738	2347	-0.320649963733207	-1.11568352980947	-0.795033566076263	0.0716936922071652
chr1	11025151	11025650	500	*	4	4	0	4	0	0	0	0.0139773498144795	0.54864991362055	2393	3.30788402768595	3.42994991877298	0.122065891087029	-1.6530355392656
chr1	11089551	11090000	450	*	7	5	0	7	0	6	0	0.0929200903217085	0.84410348186946	2417	2.01656690660473	2.54202764009776	0.525460733493032	-1.64344587633062
chr1	11138001	11138450	450	*	7	0	2	0	6	0	6	0.00775257070975719	0.454228135644774	2424	-1.14640408368969	-2.39065546164781	-1.24425137795813	-1.57065275568642
chr1	11340651	11341200	550	*	9	0	5	0	9	0	9	0.0233962857382405	0.626489267527881	2487	-0.633107244716511	-2.05646231007985	-1.42335506536334	-1.2409745915573
chr1	12008751	12009200	450	*	7	0	2	0	7	0	7	0.0362369257998973	0.691556577008296	2548	-0.500637722444825	-1.94371339796844	-1.44307567552361	-1.70811993630854
chr1	12479101	12479600	500	*	8	0	4	6	0	8	0	0.0331371557095523	0.677770693320422	2592	-0.195695445419901	1.30696938982034	1.50266483524024	-1.44931467204684
chr1	12510201	12511100	900	*	15	0	3	0	15	0	12	0.0560040111655043	0.758553533776486	2606	0.0762612876294635	-1.8113274060349	-1.88758869366436	-1.10975870354811
chr1	12670851	12671350	500	*	8	0	6	0	8	1	0	0.0950094894586783	0.849639846986927	2650	-1.34513830231473	-1.47788336760178	-0.132745065287047	-1.32322825167218
chr1	12717801	12719200	1400	*	26	7	0	5	0	0	0	0.0792111511592476	0.815184936634666	2754	3.1105144215174	3.59518911900758	0.484674697490179	-1.38846747096411
chr1	12744601	12745400	800	*	14	0	11	0	13	2	0	0.0471132707757473	0.731124684170704	2769	-2.00510821508757	-1.01742120359896	0.987687011488603	-0.841641582484161
chr1	12748201	12748950	750	*	13	9	0	10	0	0	3	0.0585052126327254	0.766105806193356	2778	2.56977876616192	1.90647912619098	-0.663299639970936	-1.48960736815009
chr1	13235101	13235750	650	*	11	0	10	0	11	1	1	0.0335824884441524	0.680268623774186	3360	-1.35142007663013	-1.89023210710193	-0.538812030471796	-1.53214804793847
chr1	13367151	13367650	500	*	6	3	0	6	0	0	0	0.0910606029794635	0.839879221833893	3538	3.21836006877828	2.98928499017447	-0.229075078603815	-1.454073305549
chr1	13533151	13533400	250	*	3	0	2	2	0	3	0	0.0834565970386384	0.825763635128707	3661	-0.410346779792159	0.981088339157588	1.39143511894975	-1.67497741596664
chr1	13828851	13829850	1000	*	17	0	2	0	13	1	13	0.000922624510186097	0.213635428832108	3844	-0.0289167657984497	-1.16426811055142	-1.13535134475297	0.491132693585813
chr1	13863801	13863950	150	*	1	1	0	1	0	1	0	0.0657450861205434	0.786834023349351	3908	0.713161433543354	1.4621331005346	0.748971666991248	-1.61511122483825
chr1	13991701	13992950	1250	*	23	5	4	0	12	0	13	0.0107532342773927	0.503424737514913	3942	0.920115284735526	-0.257466335337934	-1.17758162007346	-0.358639645616119
chr1	14013451	14014150	700	*	11	0	1	0	7	0	4	0.0177971390735334	0.584736920876569	3996	-0.484856045697453	-1.23476664225986	-0.749910596562403	-0.138859380428291
chr1	14139651	14140150	500	*	8	1	0	0	7	0	7	0.0690064352799295	0.794455269156714	4080	-0.224360130556381	-1.4373968543735	-1.21303672381712	-0.802362096986612
chr1	14181051	14182200	1150	*	19	0	8	0	17	0	12	3.77899451897151e-05	0.0441481034678846	4180	-0.618841377452819	-1.45462916310991	-0.835787785657093	0.43837469022943
chr1	14220001	14220800	800	*	14	2	7	2	6	0	0	0.0957577827539164	0.85146672374607	4235	-0.922019817806038	-0.836793257385588	0.0852265604204492	-0.640024777527087
chr1	14314951	14315700	750	*	13	12	0	0	2	0	10	0.0993756082755357	0.858425932008202	4362	0.771635479668466	-1.12918142933897	-1.90081690900744	-1.52912224512108
chr1	14422551	14423350	800	*	14	0	10	0	12	0	6	0.0375460584388583	0.695718685043087	4419	-0.682923294233694	-1.41356754353056	-0.730644249296862	-0.823522270467563
chr1	14462401	14463200	800	*	14	0	4	0	7	0	2	0.0197182283236945	0.599771871114546	4440	-0.582799210320669	-1.09193163621879	-0.509132425898124	-0.148529194054062
chr1	14947151	14948300	1150	*	21	0	4	0	15	0	10	3.38441187689751e-05	0.0415012906331529	4852	-0.306454795517416	-1.61922235962539	-1.31276756410798	0.333549377776074
chr1	15651651	15652800	1150	*	21	1	12	0	15	3	8	0.0475341342565172	0.731591538818416	5002	-0.681481824112626	-1.54998070392627	-0.868498879813642	-0.758345155437162
chr1	16135651	16135800	150	*	1	1	0	1	0	1	0	0.0992673618448002	0.858276289292789	5312	0.688631494137006	1.59713089651409	0.908499402377082	-1.68393697667638
chr1	16136351	16137200	850	*	15	11	0	15	0	11	0	0.0681138421377387	0.792225071778719	5317	1.72301570151986	2.26574630266188	0.542730601142019	-1.36865184242022
chr1	16177451	16178150	700	*	12	6	1	0	6	0	9	0.0587046814543776	0.766507938992852	5350	0.619698088864544	-0.511519882086485	-1.13121797095103	-0.521960372573217
chr1	16235751	16235950	200	*	2	2	0	2	0	0	0	0.0819682297156323	0.821874660308305	5435	2.12559578178601	2.39282756032102	0.267231778535004	-1.60653943578193
