seqnames	start	end	width	strand	nWindows	logFC.up	logFC.down	PValue	FDR	direction	best	logFC	logCPM
chr1	3444051	3444400	350	*	5	4	0	0.0441616775909302	0.563273390030683	up	20	0.718303391665067	-1.23101787691602
chr1	3841951	3842650	700	*	12	0	0	0.0504082031945798	0.580374115448938	up	77	0.449000633701389	-0.340299184600907
chr1	3994551	3995100	550	*	9	0	7	0.0592319644909483	0.602209446755073	down	88	-1.50813158479293	-1.34692950856877
chr1	4497101	4498300	1200	*	22	2	0	0.0659139094493934	0.618151208841299	up	230	1.23807409889779	-1.56641882292772
chr1	4613301	4613850	550	*	9	0	3	0.075299304399931	0.638619041630819	down	278	-0.94468338836253	-1.54785288115844
chr1	4688051	4689500	1450	*	27	2	4	0.0244835262468195	0.48916410580094	down	319	-1.26588775013663	-1.08003389493014
chr1	4911951	4912200	250	*	3	0	1	0.0224190977352451	0.479382193608905	down	466	-1.0198182151998	-1.61821362816816
chr1	5082601	5083700	1100	*	20	2	1	0.0283405238240729	0.50861540322567	up	570	0.606219600737778	-0.845804870985023
chr1	5108051	5109400	1350	*	22	0	5	0.0172999990081592	0.450911433386225	down	583	-0.353300607367581	0.855779440336589
chr1	5228801	5229350	550	*	9	3	0	0.0459506418686425	0.569079000768581	up	623	0.881046119437522	-1.38923740328682
chr1	7010201	7010750	550	*	6	0	1	0.00993869291493285	0.387815378850103	down	1039	-1.12425764938072	-1.68817263856613
chr1	7206001	7207350	1350	*	25	0	6	0.0197852633576613	0.466398759924877	down	1122	-0.858001370513537	-1.0799515188621
chr1	8410551	8411100	550	*	9	5	0	0.00221887580905974	0.266564902061633	up	1279	1.98400290996574	-1.67034601771643
chr1	9547851	9549250	1400	*	26	0	5	0.0291734722620311	0.512984002895457	down	1435	-0.84934605078299	-1.35803831458597
chr1	9564501	9564850	350	*	5	0	1	0.0533894958892272	0.586522920915508	down	1442	-2.35953405767286	-1.5292421581827
chr1	9583501	9584250	750	*	12	6	1	0.082408660053145	0.653003654071898	up	1498	1.09911486348938	-1.61887315325759
chr1	9621951	9622800	850	*	12	1	8	0.00230119365526681	0.269213800471644	down	1532	-1.80068377610285	-1.52404503978228
chr1	9699451	9700450	1000	*	18	0	3	0.0949014162050404	0.67686261887581	down	1643	-1.15958004187734	-1.26828860641753
